"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","1975-12",3.447835,
"CHE","CPI","TOT","AGRWTH","M","1976-01",3.430314,
"CHE","CPI","TOT","AGRWTH","M","1976-02",3.045107,
"CHE","CPI","TOT","AGRWTH","M","1976-03",2.474944,
"CHE","CPI","TOT","AGRWTH","M","1976-04",2.222502,
"CHE","CPI","TOT","AGRWTH","M","1976-05",1.286925,
"CHE","CPI","TOT","AGRWTH","M","1976-06",1.099038,
"CHE","CPI","TOT","AGRWTH","M","1976-07",1.468073,
"CHE","CPI","TOT","AGRWTH","M","1976-08",1.523979,
"CHE","CPI","TOT","AGRWTH","M","1976-09",0.9131935,
"CHE","CPI","TOT","AGRWTH","M","1976-10",1.030491,
"CHE","CPI","TOT","AGRWTH","M","1976-11",0.907553,
"CHE","CPI","TOT","AGRWTH","M","1976-12",1.273885,
"CHE","CPI","TOT","AGRWTH","M","1977-01",0.9019601,
"CHE","CPI","TOT","AGRWTH","M","1977-02",1.027181,
"CHE","CPI","TOT","AGRWTH","M","1977-03",1.027283,
"CHE","CPI","TOT","AGRWTH","M","1977-04",1.146898,
"CHE","CPI","TOT","AGRWTH","M","1977-05",1.270574,
"CHE","CPI","TOT","AGRWTH","M","1977-06",1.75201,
"CHE","CPI","TOT","AGRWTH","M","1977-07",1.629442,
"CHE","CPI","TOT","AGRWTH","M","1977-08",1.263165,
"CHE","CPI","TOT","AGRWTH","M","1977-09",1.56609,
"CHE","CPI","TOT","AGRWTH","M","1977-10",1.525596,
"CHE","CPI","TOT","AGRWTH","M","1977-11",1.241683,
"CHE","CPI","TOT","AGRWTH","M","1977-12",1.200369,
"CHE","CPI","TOT","AGRWTH","M","1978-01",1.020852,
"CHE","CPI","TOT","AGRWTH","M","1978-02",1.056711,
"CHE","CPI","TOT","AGRWTH","M","1978-03",1.340693,
"CHE","CPI","TOT","AGRWTH","M","1978-04",1.422584,
"CHE","CPI","TOT","AGRWTH","M","1978-05",1.583518,
"CHE","CPI","TOT","AGRWTH","M","1978-06",1.120235,
"CHE","CPI","TOT","AGRWTH","M","1978-07",1.059088,
"CHE","CPI","TOT","AGRWTH","M","1978-08",1.159295,
"CHE","CPI","TOT","AGRWTH","M","1978-09",0.7994612,
"CHE","CPI","TOT","AGRWTH","M","1978-10",0.3997932,
"CHE","CPI","TOT","AGRWTH","M","1978-11",0.6986131,
"CHE","CPI","TOT","AGRWTH","M","1978-12",0.697218,
"CHE","CPI","TOT","AGRWTH","M","1979-01",1.096612,
"CHE","CPI","TOT","AGRWTH","M","1979-02",2.093043,
"CHE","CPI","TOT","AGRWTH","M","1979-03",2.487844,
"CHE","CPI","TOT","AGRWTH","M","1979-04",2.582349,
